Vir: 58149, Phy: 4133, Data: 0
Vir: 7196, Phy: 12060, Data: 0
Vir: 9123, Phy: 20899, Data: -24
Vir: 7491, Phy: 12867, Data: 80
Vir: 62616, Phy: 4504, Data: 0
Vir: 15436, Phy: 4684, Data: 0
Vir: 17491, Phy: 9555, Data: 20
Vir: 53656, Phy: 5272, Data: 0
Vir: 26449, Phy: 4945, Data: 0
Vir: 34935, Phy: 5239, Data: 29
Vir: 19864, Phy: 5528, Data: 0
Vir: 51388, Phy: 5820, Data: 0
Vir: 15155, Phy: 5939, Data: -52
Vir: 64775, Phy: 6151, Data: 65
Vir: 47969, Phy: 6497, Data: 0
Vir: 16315, Phy: 6843, Data: -18
Vir: 1342, Phy: 27454, Data: 1
Vir: 51185, Phy: 12017, Data: 0
Vir: 6043, Phy: 7067, Data: -26
Vir: 21398, Phy: 29078, Data: 20
Vir: 3273, Phy: 8393, Data: 0
Vir: 9370, Phy: 7322, Data: 9
Vir: 35463, Phy: 7559, Data: -95
Vir: 28205, Phy: 7725, Data: 0
Vir: 2351, Phy: 7983, Data: 75
Vir: 28999, Phy: 31047, Data: 81
Vir: 47699, Phy: 8275, Data: -108
Vir: 46870, Phy: 8470, Data: 45
Vir: 22311, Phy: 8743, Data: -55
Vir: 22124, Phy: 9068, Data: 0
Vir: 22427, Phy: 8859, Data: -26
Vir: 49344, Phy: 14528, Data: 0
Vir: 23224, Phy: 9400, Data: 0
Vir: 5514, Phy: 28298, Data: 5
Vir: 20504, Phy: 9496, Data: 0
Vir: 376, Phy: 9848, Data: 0
Vir: 2014, Phy: 10206, Data: 1
Vir: 38700, Phy: 17196, Data: 0
Vir: 13098, Phy: 13610, Data: 12
Vir: 62435, Phy: 26083, Data: -8
Vir: 48046, Phy: 6574, Data: 46
Vir: 63464, Phy: 10472, Data: 0
Vir: 12798, Phy: 10750, Data: 12
Vir: 51178, Phy: 12010, Data: 49
Vir: 8627, Phy: 24243, Data: 108
Vir: 27083, Phy: 1227, Data: 114
Vir: 47198, Phy: 10846, Data: 46
Vir: 44021, Phy: 11253, Data: 0
Vir: 32792, Phy: 11288, Data: 0
Vir: 43996, Phy: 11228, Data: 0
Vir: 41126, Phy: 3494, Data: 40
Vir: 64244, Phy: 22516, Data: 0
Vir: 37047, Phy: 2231, Data: 45
Vir: 60281, Phy: 11641, Data: 0
Vir: 52904, Phy: 19624, Data: 0
Vir: 7768, Phy: 11864, Data: 0
Vir: 55359, Phy: 12095, Data: 15
Vir: 3230, Phy: 12446, Data: 3
Vir: 44813, Phy: 15373, Data: 0
Vir: 4116, Phy: 25364, Data: 0
Vir: 65222, Phy: 21190, Data: 63
Vir: 28083, Phy: 12723, Data: 108
Vir: 60660, Phy: 13044, Data: 0
Vir: 39, Phy: 13095, Data: 9
Vir: 328, Phy: 9800, Data: 0
Vir: 47868, Phy: 8444, Data: 0
Vir: 13009, Phy: 13521, Data: 0
Vir: 22378, Phy: 8810, Data: 21
Vir: 39304, Phy: 3976, Data: 0
Vir: 11171, Phy: 13731, Data: -24
Vir: 8079, Phy: 13967, Data: -29
Vir: 52879, Phy: 19599, Data: -93
Vir: 5123, Phy: 14083, Data: 0
Vir: 4356, Phy: 14340, Data: 0
Vir: 45745, Phy: 18865, Data: 0
Vir: 32952, Phy: 11448, Data: 0
Vir: 4657, Phy: 14641, Data: 0
Vir: 24142, Phy: 14926, Data: 23
Vir: 23319, Phy: 15127, Data: -59
Vir: 13607, Phy: 30503, Data: 73
Vir: 46304, Phy: 23264, Data: 0
Vir: 17677, Phy: 18445, Data: 0
Vir: 59691, Phy: 18987, Data: 74
Vir: 50967, Phy: 15383, Data: -59
Vir: 7817, Phy: 11913, Data: 0
Vir: 8545, Phy: 24161, Data: 0
Vir: 55297, Phy: 12033, Data: 0
Vir: 52954, Phy: 19674, Data: 51
Vir: 39720, Phy: 15656, Data: 0
Vir: 18455, Phy: 24343, Data: 5
Vir: 30349, Phy: 16013, Data: 0
Vir: 63270, Phy: 10278, Data: 61
Vir: 27156, Phy: 16148, Data: 0
Vir: 20614, Phy: 9606, Data: 20
Vir: 19372, Phy: 16556, Data: 0
Vir: 48689, Phy: 16689, Data: 0
Vir: 49386, Phy: 17130, Data: 48
Vir: 50584, Phy: 17304, Data: 0
Vir: 51936, Phy: 17632, Data: 0
Vir: 34705, Phy: 24977, Data: 0
Vir: 13653, Phy: 30549, Data: 0
Vir: 50077, Phy: 17821, Data: 0
Vir: 54518, Phy: 18166, Data: 53
Vir: 41482, Phy: 18186, Data: 40
Vir: 4169, Phy: 25417, Data: 0
Vir: 36118, Phy: 1814, Data: 35
Vir: 9584, Phy: 18544, Data: 0
Vir: 18490, Phy: 24378, Data: 18
Vir: 55420, Phy: 12156, Data: 0
Vir: 5708, Phy: 28748, Data: 0
Vir: 23506, Phy: 15314, Data: 22
Vir: 15391, Phy: 4639, Data: 7
Vir: 36368, Phy: 18704, Data: 0
Vir: 38976, Phy: 19008, Data: 0
Vir: 50406, Phy: 19430, Data: 49
Vir: 49236, Phy: 16980, Data: 0
Vir: 65035, Phy: 21003, Data: -126
Vir: 30120, Phy: 19624, Data: 0
Vir: 62551, Phy: 4439, Data: 21
Vir: 46809, Phy: 3289, Data: 0
Vir: 21687, Phy: 29623, Data: 45
Vir: 53839, Phy: 32591, Data: -109
Vir: 2098, Phy: 19762, Data: 2
Vir: 12364, Phy: 20044, Data: 0
Vir: 45366, Phy: 20278, Data: 44
Vir: 50437, Phy: 17157, Data: 0
Vir: 36675, Phy: 20547, Data: -48
Vir: 55382, Phy: 12118, Data: 54
Vir: 11846, Phy: 20806, Data: 11
Vir: 49127, Phy: 24807, Data: -7
Vir: 19900, Phy: 5564, Data: 0
Vir: 20554, Phy: 9546, Data: 20
Vir: 19219, Phy: 16403, Data: -60
Vir: 51483, Phy: 21019, Data: 70
Vir: 58090, Phy: 21482, Data: 56
Vir: 39074, Phy: 19106, Data: 38
Vir: 16060, Phy: 28092, Data: 0
Vir: 10447, Phy: 21711, Data: 51
Vir: 54169, Phy: 28569, Data: 0
Vir: 20634, Phy: 9626, Data: 20
Vir: 57555, Phy: 21971, Data: 52
Vir: 61210, Phy: 22042, Data: 59
Vir: 269, Phy: 9741, Data: 0
Vir: 33154, Phy: 31362, Data: 32
Vir: 64487, Phy: 22503, Data: -7
Vir: 61223, Phy: 22055, Data: -55
Vir: 47292, Phy: 10940, Data: 0
Vir: 21852, Phy: 22620, Data: 0
Vir: 5281, Phy: 14241, Data: 0
Vir: 45912, Phy: 25688, Data: 0
Vir: 32532, Phy: 23572, Data: 0
Vir: 63067, Phy: 22875, Data: -106
Vir: 41683, Phy: 18387, Data: -76
Vir: 20981, Phy: 23285, Data: 0
Vir: 33881, Phy: 23385, Data: 0
Vir: 41785, Phy: 23609, Data: 0
Vir: 4580, Phy: 14564, Data: 0
Vir: 41389, Phy: 23981, Data: 0
